PERSONA,SERVICIO
99136,Baño propio
82449,Cocineta
110907,Baño propio
2456,Baño propio
147187,Baño propio
90939,TV
111742,jacuzzi
50698,Cocineta
137240,Baño propio
94379,Cocineta
88067,Cocineta
16600,TV
37895,empleada
60021,Cocineta
20721,TV
113115,WiFi
143842,empleada
51905,Baño propio
86272,WiFi
84618,TV
90076,empleada
98855,TV
52991,empleada
94925,Baño propio
140610,Baño propio
77313,WiFi
61679,TV
77424,empleada
57372,WiFi
27635,TV
103631,TV
94955,WiFi
113011,jacuzzi
63679,WiFi
34831,WiFi
29264,jacuzzi
130584,WiFi
24966,Cocineta
141808,Baño propio
127550,jacuzzi
112060,Cocineta
69644,empleada
17527,Cocineta
36238,WiFi
127278,Baño propio
72003,Baño propio
129521,TV
136685,TV
68232,Baño propio
44831,Cocineta
50535,TV
45410,Baño propio
26332,WiFi
78714,TV
114348,Baño propio
17899,Cocineta
94017,WiFi
136568,WiFi
47705,WiFi
132969,WiFi
119947,empleada
36808,Baño propio
109905,WiFi
90946,Cocineta
128229,Baño propio
138188,WiFi
46684,Cocineta
28537,Cocineta
107272,TV
62017,WiFi
67846,jacuzzi
36767,jacuzzi
64934,jacuzzi
61019,jacuzzi
128967,TV
110738,TV
93424,Cocineta
14464,empleada
33761,WiFi
69822,WiFi
117858,TV
33711,jacuzzi
131201,empleada
13978,TV
3812,empleada
54312,TV
91931,Cocineta
70646,WiFi
19808,Cocineta
6029,jacuzzi
137492,TV
45370,TV
62554,WiFi
37190,Cocineta
94040,jacuzzi
81114,WiFi
145573,Cocineta
111008,jacuzzi
13378,Cocineta
77940,TV
83418,Baño propio
131639,empleada
128645,Cocineta
121601,Cocineta
101558,WiFi
37189,WiFi
93947,empleada
10113,TV
43019,WiFi
2503,jacuzzi
24994,Baño propio
45325,jacuzzi
27089,empleada
92383,WiFi
110302,empleada
75068,Cocineta
34762,TV
83479,TV
107855,jacuzzi
121949,Baño propio
23062,Cocineta
105622,Baño propio
120236,WiFi
2344,Cocineta
61070,empleada
142433,TV
129746,Baño propio
142395,WiFi
114577,TV
134119,Baño propio
47956,TV
89347,jacuzzi
142810,Cocineta
68738,Cocineta
31188,jacuzzi
77587,empleada
80202,Baño propio
44390,TV
83039,TV
37564,TV
55820,TV
97178,Baño propio
132798,WiFi
93702,Cocineta
72839,empleada
92248,WiFi
128120,WiFi
89761,empleada
125107,jacuzzi
70345,empleada
39494,WiFi
118260,jacuzzi
143331,TV
132343,Baño propio
111233,WiFi
5757,TV
21548,Baño propio
54637,TV
134752,Cocineta
30989,WiFi
60389,jacuzzi
69448,jacuzzi
100380,empleada
42998,empleada
43369,Cocineta
73140,empleada
103387,TV
90166,WiFi
98512,TV
36489,empleada
