ID,COSTO,INTERNET_TV,ADMINISTRACION,PERSONA
80000,160157,0,1,34852
80001,548389,1,1,69317
80002,115365,1,1,108367
80003,308120,1,0,62116
80004,353865,0,1,148229
80005,76924,0,0,127334
80006,549529,1,1,39610
80007,115612,1,0,113538
80008,933132,1,1,65654
80009,801963,1,0,71594
80010,770275,0,1,132578
80011,168871,1,1,144828
80012,605182,0,1,21027
80013,591511,0,0,129628
80014,533117,1,0,24953
80015,303476,1,1,17706
80016,16372,1,1,93868
80017,335667,1,0,129328
80018,552575,0,1,148784
80019,13189,0,1,45091
80020,222454,0,1,89482
80021,43699,0,0,63533
80022,268597,0,0,69789
80023,780481,1,0,51170
80024,282471,1,1,3445
80025,933825,1,1,131371
80026,214540,0,1,109709
80027,995927,0,0,99252
80028,892493,1,1,52988
80029,410448,1,1,139322
80030,731933,0,0,27654
80031,569751,1,0,25783
80032,175962,0,0,19609
80033,769001,0,0,72295
80034,684115,0,1,41997
80035,365866,1,0,15228
80036,540533,1,0,85147
80037,878542,1,0,44516
80038,977462,0,1,124382
80039,677992,0,0,79943
80040,554891,0,1,49912
80041,536045,1,1,28158
80042,575884,1,1,109300
80043,60872,1,0,4073
80044,260067,0,0,78418
80045,351490,0,0,6231
80046,899425,1,1,12987
80047,299427,0,0,117895
80048,109389,0,0,137917
80049,953435,0,0,62183
80050,524994,1,0,46832
80051,475692,0,0,139385
80052,267934,1,0,41968
80053,406727,0,1,127876
80054,376612,1,1,97572
80055,743187,1,1,67826
80056,64570,1,1,89383
80057,632963,1,0,47039
80058,24704,1,1,121178
80059,643029,1,1,67305
80060,272303,0,1,108801
80061,660907,0,1,60726
80062,925713,1,1,118687
80063,32852,1,0,2670
80064,624796,0,0,115292
80065,651254,1,0,7023
80066,702952,0,1,9676
80067,362091,1,1,111560
80068,305260,1,0,139560
80069,985461,1,1,136234
80070,277445,0,1,99758
80071,156052,1,0,40133
80072,454146,0,0,53490
80073,55696,0,1,105265
80074,534041,0,0,28244
80075,419430,0,1,49948
80076,147559,0,0,4379
80077,67671,0,0,92118
80078,738122,1,1,38286
80079,422438,1,1,3609
80080,532539,0,0,37477
80081,144646,0,1,72350
80082,57871,0,1,76233
80083,215297,1,1,117196
80084,867185,0,1,126612
80085,986927,0,0,72241
80086,228070,0,1,133768
80087,87927,1,1,71781
80088,836425,0,0,23658
80089,247777,0,0,135886
80090,423511,1,0,15904
80091,998392,0,0,113007
80092,988519,0,1,106791
80093,795244,0,1,22075
80094,276306,1,0,114886
80095,202545,0,0,57698
80096,749113,0,1,68404
80097,945180,1,1,84053
80098,794539,1,0,21560
80099,535093,0,0,132804
80100,916723,1,1,39562
80101,879107,1,1,101956
80102,357518,0,1,23863
80103,491939,1,1,111934
80104,464210,1,1,86071
80105,612982,1,1,100103
80106,29605,1,0,47390
80107,699018,1,0,15085
80108,289268,1,1,36692
80109,49343,0,0,19263
80110,705404,0,1,94732
80111,982302,1,1,64976
80112,146645,0,0,137442
80113,46454,1,1,73170
80114,886798,1,1,128240
80115,86248,0,1,67178
80116,305995,1,1,35003
80117,279749,1,1,84283
80118,811896,0,0,19602
80119,122683,0,1,111337
80120,83982,0,0,140126
80121,243108,1,1,28699
80122,643103,0,1,126285
80123,384223,1,0,109195
80124,700440,0,1,61594
80125,183561,1,0,36844
80126,952191,0,1,13064
80127,121584,0,0,77966
80128,562981,1,0,16538
80129,849743,0,1,60934
80130,263090,0,0,67466
80131,833508,0,1,56273
80132,685284,1,0,105926
80133,502819,0,0,40572
80134,197743,1,0,83230
80135,908725,0,1,79059
80136,773175,1,1,79268
80137,718215,1,0,96194
80138,229430,0,1,51329
80139,757324,0,1,14160
80140,774722,1,1,139483
80141,906110,0,1,75964
80142,127895,0,0,20144
80143,607232,0,0,115322
80144,493758,0,0,3966
80145,402258,0,0,102015
80146,614213,0,0,118479
80147,736268,1,0,146107
80148,296,1,0,44034
80149,382483,0,1,2846
80150,830766,1,1,34133
80151,684939,0,0,148617
80152,618423,1,0,71495
80153,401689,1,0,45910
80154,359397,0,1,10456
80155,151070,1,1,122761
80156,623137,1,0,111299
80157,436037,1,0,44578
80158,662727,1,1,23968
80159,38077,1,0,36053
80160,527039,0,1,112421
80161,840746,1,1,143754
80162,158694,0,1,29520
80163,73193,0,1,91492
80164,950588,1,1,27512
80165,275153,1,1,147459
80166,678472,0,0,141248
80167,869003,0,0,44697
80168,106926,1,1,137552
80169,931250,0,0,52863
80170,440638,1,0,83197
80171,987536,1,1,119981
80172,11345,1,1,99276
80173,167206,0,0,83913
80174,4445,1,1,16613
80175,969607,0,1,75529
80176,176936,1,1,87177
80177,812774,1,1,30462
80178,5135,1,0,78925
80179,858748,0,0,104956
80180,765670,1,0,6620
80181,762458,1,1,61203
80182,190343,0,1,102305
80183,790344,1,0,106232
80184,408950,1,0,145036
80185,269041,0,0,1057
80186,993054,0,1,41516
80187,466287,0,1,48804
80188,39751,1,0,77778
80189,953663,1,1,56943
80190,313979,1,1,94913
80191,632086,0,1,142407
80192,392820,1,1,85969
80193,694051,0,1,53643
80194,850395,0,0,73043
80195,229881,1,0,135473
80196,43693,1,1,4941
80197,592623,1,1,57528
80198,34513,0,0,22332
80199,62033,1,0,21367
80200,3170,1,0,139909
80201,813445,1,0,42344
80202,662666,1,1,98290
80203,99160,1,0,128982
80204,987176,0,0,14888
80205,433064,0,1,122042
80206,856513,1,1,60773
80207,87682,1,1,130780
80208,476361,1,0,117578
80209,280899,0,0,3263
80210,325390,0,1,49019
80211,346451,1,0,34071
80212,858029,1,1,104946
80213,867426,1,0,78413
80214,651153,1,1,25012
80215,925314,0,0,21670
80216,79869,0,1,82682
80217,204275,0,1,101284
80218,533895,0,0,81227
80219,119315,1,1,11473
80220,947697,0,0,62925
80221,272926,1,1,41528
80222,808216,1,0,54320
80223,749859,1,1,58144
80224,863652,0,0,99835
80225,356054,0,0,54207
80226,632692,1,1,63006
80227,849744,1,0,44099
80228,951619,0,1,97947
80229,189964,1,1,123905
80230,285803,0,1,51072
80231,256582,1,0,13787
80232,350373,1,1,26969
80233,884748,0,1,25550
80234,886889,1,1,47832
80235,798698,1,1,140836
80236,342301,0,0,139267
80237,662369,1,0,86608
80238,638912,1,0,57838
80239,434943,0,0,79313
80240,720400,0,0,40876
80241,62265,1,1,148248
80242,573716,0,0,65571
80243,183415,0,0,132073
80244,541270,0,0,19451
80245,956194,0,1,135794
80246,405060,0,0,83825
80247,579685,1,0,124762
80248,552939,1,0,59554
80249,254276,1,0,27206
80250,977234,1,1,125311
80251,614229,0,0,42161
80252,578618,0,0,74410
80253,269453,1,0,145153
80254,107453,0,0,93463
80255,581414,1,0,56914
80256,338338,0,0,17141
80257,883193,0,1,68561
80258,804404,0,1,23457
80259,534941,0,0,47607
80260,491790,1,1,119487
80261,105970,0,0,51499
80262,812667,1,1,109192
80263,599746,0,0,112098
80264,446334,1,1,122078
80265,885943,0,0,105011
80266,120327,0,1,60608
80267,606974,0,1,19823
80268,659779,0,0,121040
80269,430252,1,1,20733
80270,544597,1,0,101254
80271,940693,0,0,134545
80272,545539,0,0,87752
80273,403997,1,1,32167
80274,277681,0,1,128281
80275,230651,1,0,39434
80276,684718,0,0,43532
80277,71407,1,1,137862
80278,407643,1,1,22838
80279,164888,1,0,10743
80280,262208,0,0,41666
80281,909930,0,1,104813
80282,186265,0,0,25661
80283,425356,1,1,59947
80284,946370,1,1,118485
80285,125312,1,0,135286
80286,627400,0,0,145811
80287,165505,1,1,127665
80288,599814,0,1,110531
80289,111171,0,1,69827
80290,510886,1,0,3865
80291,764808,0,1,88293
80292,858481,1,1,124793
80293,70976,0,1,95775
80294,763120,1,1,30550
80295,376192,0,1,13722
80296,583892,0,1,18099
80297,835062,1,0,127819
80298,90965,1,0,42447
80299,311479,1,0,23375
80300,643715,1,1,85895
80301,544740,0,0,54125
80302,98021,1,1,57145
80303,988457,0,0,11594
80304,469441,1,0,111294
80305,920235,0,1,36425
80306,826611,0,0,36042
80307,538819,0,0,12557
80308,582777,1,0,20612
80309,62777,1,0,49419
80310,348501,0,1,49087
80311,505084,0,0,84747
80312,998051,0,1,1010
80313,56493,1,0,57708
80314,481395,1,1,118835
80315,991756,1,0,42029
80316,963297,1,1,92537
80317,375527,1,1,95156
80318,744901,1,1,47433
80319,385929,1,1,103200
80320,292858,0,0,92820
80321,783656,0,1,127973
80322,88119,1,1,118048
80323,382841,1,1,79818
80324,885450,1,1,130027
80325,419197,1,0,147629
80326,9245,0,1,11308
80327,276863,0,1,122184
80328,686599,0,0,21284
80329,771730,0,1,2179
80330,906025,1,1,81156
80331,61833,1,1,46208
80332,496557,1,1,53268
80333,390503,1,1,3215
80334,435922,1,0,67142
80335,334950,1,0,68640
80336,930208,0,1,75706
80337,884041,1,1,88267
80338,793003,0,0,25414
80339,754663,1,0,100875
80340,705743,1,0,33874
80341,659527,1,0,55621
80342,746218,0,1,61610
80343,59287,0,1,40413
80344,524313,0,0,98574
80345,855850,1,1,16522
80346,116225,1,1,20537
80347,793637,0,1,131924
80348,328441,1,0,50543
80349,701008,0,1,87118
80350,667954,0,1,41579
80351,480226,0,1,137401
80352,281478,1,0,90474
80353,213850,1,0,126234
80354,3277,0,1,40504
80355,659852,1,1,57702
80356,465213,1,0,7979
80357,236351,0,0,112933
80358,272847,1,0,22092
80359,987561,1,1,107144
80360,789825,0,1,40416
80361,917130,0,1,110108
80362,516181,0,0,142302
80363,982297,1,1,72076
80364,651327,1,0,13900
80365,344086,1,0,123778
80366,755881,1,1,140105
80367,856647,0,0,122367
80368,629100,0,1,125090
80369,555810,1,1,45745
80370,962181,0,1,25792
80371,538598,1,0,94066
80372,295989,1,1,62210
80373,265012,1,0,83254
80374,125807,1,0,59511
80375,774742,0,0,117296
80376,730924,1,0,836
80377,11003,1,0,85140
80378,492243,0,1,79937
80379,891645,1,1,138213
80380,794466,0,0,37120
80381,96431,1,1,103793
80382,69578,1,0,46604
80383,519431,1,1,141164
80384,765883,1,1,144133
80385,979238,0,0,129785
80386,791736,0,1,118068
80387,867354,0,1,141247
80388,936527,0,0,75237
80389,518190,1,1,33961
80390,991205,0,1,84446
80391,650631,0,0,104438
80392,788944,1,0,116473
80393,916203,0,0,128145
80394,706660,0,1,39394
80395,757719,1,1,93804
80396,565980,0,1,106228
80397,831688,0,1,68295
80398,374792,0,0,84928
80399,784130,0,0,21854
80400,679900,1,1,112240
80401,633437,1,1,96497
80402,370736,0,1,109998
80403,465901,1,1,16470
80404,302972,1,1,111567
80405,456528,0,1,106042
80406,161394,0,0,123893
80407,303687,0,0,70439
80408,897154,1,1,20413
80409,621466,0,1,78156
80410,435514,0,1,143555
80411,643732,0,1,41146
80412,756445,1,1,97881
80413,63511,0,1,87214
80414,651942,0,0,143152
80415,914090,1,1,131826
80416,981142,1,0,90472
80417,843705,1,1,113844
80418,770571,0,1,70992
80419,388232,0,0,89935
80420,472666,1,1,73175
80421,784892,0,1,116136
80422,854527,0,0,138863
80423,181775,0,1,39781
80424,531339,1,0,88265
80425,457136,1,1,1064
80426,881777,0,1,117863
80427,97799,1,1,106561
80428,556302,1,1,15697
80429,579760,1,1,105497
80430,749918,1,1,64023
80431,270531,0,1,76250
80432,697684,0,1,116549
80433,231458,1,1,10240
80434,181369,1,0,98171
80435,514819,1,0,80767
80436,749569,0,0,17815
80437,778476,1,1,19862
80438,792440,1,1,113328
80439,794884,0,0,66673
80440,695419,0,1,87965
80441,544946,0,0,91840
80442,66548,0,0,38012
80443,902922,0,0,136851
80444,984743,0,0,11568
80445,66526,1,1,49174
80446,328240,0,0,138298
80447,624781,1,0,78152
80448,586147,0,1,131418
80449,998009,0,0,94448
80450,612304,0,1,115667
80451,165452,0,1,21869
80452,703097,0,1,104066
80453,350520,1,1,16783
80454,63027,0,1,122595
80455,280494,0,0,50582
80456,609639,0,0,96560
80457,982224,0,0,57548
