ID,NUM_HABITACIONES,DIRECCION,MENSAJE,PRECIO,EVENTO
400000,15,Bigziz Ridge,null,4439091,20061
400001,17,Gage Mill,null,1426363,41585
400002,19,Tedep Place,null,7548261,25942
400003,18,Kupsu Avenue,null,1013832,14268
400004,17,Pagpod Center,null,5271254,7038
400005,19,Joni Circle,null,1881690,275
400006,16,Capow Court,null,9784577,15429
400007,16,Ulenok Circle,null,4967771,12409
400008,20,Atagu Plaza,null,5151312,36824
400009,15,Tovu Way,null,8069884,42710
400010,19,Sucuk Park,null,6831706,30910
400011,17,Jedev Plaza,null,3864269,48413
400012,18,Duwe Pike,null,6027547,27240
400013,18,Panco Heights,null,1738867,20397
400014,30,Cufpop Point,null,6939950,46464
400015,15,Evevej Square,null,497579,42790
400016,25,Zehja Avenue,null,3589643,20088
400017,30,Uruufu Extension,null,5392243,2324
400018,29,Favo Loop,null,835327,32216
400019,15,Dufe Road,null,7948138,47633
400020,19,Saffog Boulevard,null,3976935,46832
400021,25,Fublo Turnpike,null,718028,17253
400022,17,Wihpes Glen,null,9743571,9427
400023,30,Kapif Key,null,7856590,2702
400024,20,Pukki Square,null,6576025,12370
400025,17,Hafa Avenue,null,8252286,38187
400026,29,Moza Turnpike,null,3135171,41099
400027,29,Udev Heights,null,9232080,19774
400028,25,Inebar Square,null,7647011,36273
400029,15,Getuc Way,null,1623899,35531
400030,20,Adaik Point,null,6413873,26313
400031,20,Anhu Heights,null,8558175,29019
400032,16,Neup River,null,6637764,8786
400033,29,Pozuj Center,null,9042761,21079
400034,20,Leniw Road,null,6510078,23478
400035,25,Sobol Highway,null,5544754,39714
400036,30,Nelkaz Pike,null,2189320,1398
400037,25,Negor Road,null,2534755,6646
400038,20,Libawo Point,null,8599657,26481
400039,25,Cefhi Key,null,3766697,37674
400040,16,Nogeg Ridge,null,3843040,38310
400041,15,Codag Heights,null,1472533,31169
400042,16,Lulafu Drive,null,7776809,44292
400043,16,Hacap Mill,null,6090859,43055
400044,19,Fujdoz Junction,null,4366689,26737
400045,15,Faonu Boulevard,null,2082909,30256
400046,15,Wehec Street,null,2154009,12969
400047,25,Emiju Ridge,null,7458773,30720
400048,29,Rizub Court,null,967704,49654
400049,30,Oheleh Parkway,null,2953000,34330
400050,29,Itzu Mill,null,1114469,41147
400051,19,Vojiz Mill,null,303381,22778
400052,17,Ucidap Avenue,null,3512662,17024
400053,19,Esco Ridge,null,5643756,21534
400054,30,Higbu Parkway,null,255571,38715
400055,20,Zuzup View,null,184454,34642
400056,30,Hahro Boulevard,null,5664494,17857
400057,30,Umiuh Trail,null,6330842,25148
400058,17,Uklo Loop,null,9526115,45592
400059,20,Tuava Key,null,1757425,90
400060,15,Wodduk Terrace,null,1833975,30415
400061,16,Rotak Plaza,null,7155510,36703
400062,25,Vousi Road,null,1346374,395
400063,15,Newe Ridge,null,1387785,17189
400064,19,Nonifo Loop,null,9955341,16107
400065,25,Zettiv View,null,7799716,11819
400066,18,Akegom Place,null,7957772,27746
400067,30,Juot Point,null,6254821,32241
400068,16,Kopjim Drive,null,3023745,24565
400069,20,Pechuj View,null,5186588,5836
400070,30,Hame Glen,null,6557796,7959
400071,16,Ifha Drive,null,4809251,22564
400072,15,Cikum Extension,null,7503424,7044
400073,18,Rebsur Court,null,382307,33603
400074,25,Ladrev Terrace,null,6445340,23389
400075,17,Zarad Path,null,3977341,28078
400076,25,Besba Drive,null,4115001,24261
400077,29,Oruvec Grove,null,5516647,48484
400078,30,Borec Highway,null,409539,5372
400079,29,Dimop Loop,null,457110,27072
400080,17,Hitfek Boulevard,null,8490316,45924
400081,18,Cofvu Pike,null,1401887,15487
400082,18,Dofi River,null,3713513,30852
400083,16,Icowuj River,null,887468,21268
400084,29,Punud Loop,null,7913782,23725
400085,30,Deve Highway,null,3832672,15498
400086,19,Ponlit Key,null,1982766,7097
400087,18,Nikzuv Ridge,null,9360952,27880
400088,17,Reuse Street,null,6894095,48296
400089,20,Horire Highway,null,8300777,17513
400090,15,Gulu Plaza,null,1764071,36249
400091,29,Ikemuk Turnpike,null,7475595,23538
400092,30,Ajapaz Parkway,null,4672376,46758
400093,17,Adsa Mill,null,2448611,49044
400094,25,Awabi Lane,null,1812396,35473
400095,30,Gaceb Park,null,7209962,2369
400096,30,Kukoji Manor,null,9176708,46217
400097,16,Bili Square,null,5094437,47529
400098,19,Picek Boulevard,null,8160338,20296
400099,16,Vimite Trail,null,7532894,20849
400100,29,Azde Street,null,8731553,9690
400101,16,Ibeji Junction,null,4212840,34571
400102,15,Ujpas Loop,null,9551054,29763
400103,29,Lakod Drive,null,4623731,852
400104,18,Tulepi Turnpike,null,9011112,17577
400105,30,Acolos Highway,null,4735594,49873
400106,29,Tomok Grove,null,8576325,12372
400107,16,Kuzbi Parkway,null,6180206,26933
400108,15,Fufide Ridge,null,2954206,42627
400109,16,Cebev Park,null,7861202,43111
400110,19,Wipozu Key,null,1773476,49070
400111,18,Fiubu Junction,null,8547658,27970
400112,16,Desjos Lane,null,6537248,8870
400113,20,Rivu Way,null,4897156,18896
400114,30,Kiga Manor,null,9493980,45300
400115,18,Ubni Point,null,3749308,43245
400116,30,Citec Manor,null,6275766,22097
400117,20,Nofha Heights,null,9793127,20396
400118,19,Nuwuwa Street,null,8392086,7688
400119,30,Akpoj Key,null,480009,17610
400120,16,Dacew Boulevard,null,2827199,16427
400121,25,Opdi View,null,7830438,45924
400122,29,Biucu Junction,null,3580996,33274
400123,25,Liwal Loop,null,5295336,24741
400124,20,Tuwoj Mill,null,5420610,23449
400125,19,Veapi Way,null,6864753,40132
400126,25,Hacjid Place,null,8743851,9056
400127,25,Virni Grove,null,2377660,47424
400128,16,Calgav Manor,null,2895329,15140
400129,16,Rozmo Path,null,7070835,18628
400130,25,Tekzis Heights,null,2336465,10980
400131,30,Icmem Park,null,5835783,39575
400132,18,Hobgi Loop,null,54266,39210
400133,15,Undiz Drive,null,1540418,9659
400134,30,Sunfi Court,null,88887,47997
400135,20,Bapa Point,null,5505393,13639
400136,15,Jijnav Key,null,9111720,32299
400137,30,Mage Plaza,null,6688077,7005
400138,30,Potwuv View,null,8300854,29869
400139,16,Jasli Pass,null,492171,35174
400140,20,Uvavu Turnpike,null,5005379,39508
400141,16,Jito Drive,null,2544569,26055
400142,19,Ricuke Lane,null,1527308,5019
400143,19,Agta Pass,null,5795661,11500
400144,30,Cutjos Center,null,855409,7244
400145,19,Nujo Way,null,3417344,23549
400146,19,Onfo Mill,null,9221277,16747
400147,18,Afur Manor,null,6418264,8199
400148,25,Esjin Avenue,null,1230426,32153
400149,17,Kugow Street,null,8138089,30989
400150,25,Uheez Glen,null,612425,47350
400151,16,Sudo Point,null,8228411,11591
400152,25,Uzece Parkway,null,4095946,43881
400153,15,Ituam Place,null,1895395,35731
400154,15,Siva Pike,null,5279785,25709
400155,25,Kaje Circle,null,4286126,12411
400156,15,Icida Junction,null,4026233,30619
400157,17,Begra Heights,null,2531017,34802
400158,29,Uwke Plaza,null,14900,10452
400159,18,Opnun Loop,null,3482344,6034
400160,25,Gukes Mill,null,7766470,41994
400161,19,Ciin Highway,null,4246074,36903
400162,20,Ijufih Ridge,null,7804259,19882
400163,16,Ojaec Grove,null,8735674,26321
400164,15,Gees Street,null,1589977,7796
400165,30,Fadi Plaza,null,4711520,27658
400166,16,Umto Trail,null,589773,12236
400167,29,Ufef Highway,null,7556823,14715
400168,18,Lici Point,null,1756806,7438
400169,25,Deba Manor,null,886363,31059
400170,20,Bivi Place,null,793384,20600
400171,25,Wocwa Path,null,3104377,19214
400172,18,Uzege Grove,null,2992142,8704
400173,17,Podap Heights,null,5009512,19260
400174,20,Kamviz Highway,null,1192569,29349
400175,16,Cuvu Mill,null,2235626,46558
400176,17,Duik Trail,null,1549996,47857
400177,17,Olju Glen,null,3888780,33959
400178,25,Rowu Turnpike,null,2080428,44282
