ID,PRECIO,HOSTAL,ESTADO
240000,126638,14248,deshabilitado
240001,326148,17540,deshabilitado
240002,293518,11574,deshabilitado
240003,9889,18814,habilitado
240004,396368,13558,deshabilitado
240005,403335,3313,habilitado
240006,432628,18371,habilitado
240007,380550,2373,habilitado
240008,426898,11072,habilitado
240009,216314,15045,habilitado
240010,29025,7383,deshabilitado
240011,242706,18892,deshabilitado
240012,131592,7339,deshabilitado
240013,56793,5030,habilitado
240014,306569,10273,habilitado
240015,6627,16183,habilitado
240016,274585,14489,deshabilitado
240017,178709,15238,deshabilitado
240018,23338,3708,deshabilitado
240019,66462,7367,habilitado
240020,217062,7054,deshabilitado
240021,424869,4769,habilitado
240022,104153,17551,deshabilitado
240023,160146,52,habilitado
240024,404282,15145,deshabilitado
240025,324592,9952,habilitado
240026,89255,7065,deshabilitado
240027,226700,13946,deshabilitado
240028,224866,13226,deshabilitado
240029,44659,17465,habilitado
240030,337130,11592,deshabilitado
240031,22685,3592,deshabilitado
240032,390303,7748,habilitado
240033,61330,13364,habilitado
240034,331785,3072,habilitado
240035,115143,9918,deshabilitado
240036,77744,3651,habilitado
240037,250303,2429,habilitado
240038,158773,7516,habilitado
240039,146576,2394,habilitado
240040,124739,7629,habilitado
240041,347492,12926,deshabilitado
240042,295439,9240,deshabilitado
240043,90052,10109,deshabilitado
240044,497533,4891,habilitado
240045,499303,11602,habilitado
240046,160412,11301,deshabilitado
240047,270953,14695,deshabilitado
240048,141761,1010,habilitado
240049,107153,3477,deshabilitado
240050,404514,714,habilitado
240051,387173,6274,habilitado
240052,284770,13822,habilitado
240053,270210,12315,habilitado
240054,239989,12623,deshabilitado
240055,145864,18753,habilitado
240056,380119,7909,habilitado
240057,183439,1360,habilitado
240058,319292,1730,habilitado
240059,201015,11700,deshabilitado
240060,459155,17880,deshabilitado
240061,121556,2571,deshabilitado
240062,166712,18522,deshabilitado
240063,475351,13447,habilitado
240064,245190,13988,habilitado
240065,115873,13628,habilitado
240066,91565,12243,deshabilitado
240067,17933,11557,habilitado
240068,491718,8559,habilitado
240069,280637,796,habilitado
240070,261038,6314,habilitado
240071,359659,18681,deshabilitado
240072,141556,8330,deshabilitado
240073,53439,7399,deshabilitado
240074,234389,17291,deshabilitado
240075,474172,2289,habilitado
240076,132291,17561,habilitado
