ID,PRECIO,HOTEL,TIPO_HABITACION,ESTADO
160000,530189,6699,estandar,deshabilitado
160001,683173,6049,estandar,habilitado
160002,732512,19002,suite,habilitado
160003,342101,15200,suite,habilitado
160004,231656,3114,suite,habilitado
160005,712557,6445,suite,deshabilitado
160006,549682,16728,estandar,deshabilitado
160007,859418,1751,estandar,habilitado
160008,881802,4285,estandar,deshabilitado
160009,419264,11923,estandar,deshabilitado
160010,800203,3236,semisuite,deshabilitado
160011,665371,18977,suite,deshabilitado
160012,338526,3099,semisuite,habilitado
160013,39521,15762,suite,habilitado
160014,978505,17927,suite,habilitado
160015,289636,15886,semisuite,deshabilitado
160016,66346,1092,estandar,deshabilitado
160017,661736,7425,suite,habilitado
160018,391296,6099,semisuite,habilitado
160019,81243,281,estandar,deshabilitado
160020,273963,8249,semisuite,deshabilitado
160021,846916,1506,suite,habilitado
160022,932425,68,estandar,deshabilitado
160023,765237,8427,estandar,habilitado
160024,733030,6508,estandar,deshabilitado
160025,497146,10610,suite,habilitado
160026,516402,2878,suite,habilitado
160027,933597,7471,estandar,habilitado
160028,426923,5356,semisuite,habilitado
160029,307727,12352,semisuite,habilitado
160030,968854,16494,suite,deshabilitado
160031,942837,14185,estandar,deshabilitado
160032,980405,4523,suite,habilitado
160033,877254,18208,estandar,habilitado
160034,443259,7322,suite,habilitado
160035,488228,12579,estandar,habilitado
160036,54001,6431,estandar,habilitado
160037,486177,7191,semisuite,deshabilitado
160038,783147,1081,estandar,habilitado
160039,52919,2958,estandar,deshabilitado
160040,338564,9140,semisuite,deshabilitado
160041,59586,2966,suite,habilitado
160042,198179,14907,estandar,habilitado
160043,739398,8100,semisuite,deshabilitado
160044,850957,3861,estandar,deshabilitado
160045,173953,17026,suite,deshabilitado
160046,561066,4146,semisuite,deshabilitado
160047,18623,11412,suite,habilitado
160048,784790,3086,estandar,habilitado
160049,417834,3055,semisuite,deshabilitado
160050,71122,19118,suite,deshabilitado
160051,359555,3049,semisuite,habilitado
160052,17749,12550,estandar,deshabilitado
160053,524158,17819,semisuite,habilitado
160054,896103,3172,suite,habilitado
160055,453891,14318,suite,deshabilitado
160056,74732,5424,suite,habilitado
160057,461906,2210,semisuite,deshabilitado
160058,970568,3911,semisuite,deshabilitado
160059,148907,17996,suite,habilitado
160060,990516,18051,semisuite,deshabilitado
160061,518315,19330,semisuite,habilitado
160062,976330,15655,semisuite,habilitado
160063,793412,9770,semisuite,deshabilitado
160064,802912,10287,semisuite,habilitado
160065,659637,9922,semisuite,deshabilitado
160066,940790,13619,suite,habilitado
160067,745047,725,estandar,deshabilitado
160068,582784,10563,semisuite,habilitado
160069,579789,183,suite,habilitado
160070,499070,17568,suite,deshabilitado
160071,556214,8487,estandar,deshabilitado
160072,295181,6077,suite,deshabilitado
160073,421336,15526,semisuite,habilitado
160074,602232,12122,semisuite,deshabilitado
160075,191379,14695,estandar,habilitado
160076,138021,1937,estandar,deshabilitado
160077,183556,19797,semisuite,deshabilitado
160078,614526,1912,semisuite,deshabilitado
160079,842841,9943,suite,deshabilitado
160080,129911,18780,suite,deshabilitado
160081,413996,11324,semisuite,deshabilitado
160082,735581,8752,suite,deshabilitado
160083,959525,16564,suite,habilitado
160084,226761,18708,semisuite,deshabilitado
160085,31270,5269,estandar,habilitado
160086,814633,9605,suite,habilitado
160087,870069,11072,suite,deshabilitado
160088,606721,7976,suite,habilitado
160089,783889,6464,semisuite,habilitado
160090,299716,16981,semisuite,habilitado
160091,704821,18921,suite,habilitado
160092,96678,7752,estandar,deshabilitado
160093,527342,11242,suite,deshabilitado
160094,448169,5023,suite,deshabilitado
160095,759572,7848,suite,deshabilitado
160096,23719,19823,suite,deshabilitado
160097,926093,18620,suite,habilitado
160098,161958,14404,semisuite,deshabilitado
160099,108547,6602,suite,deshabilitado
160100,47019,1978,semisuite,deshabilitado
160101,34856,10583,semisuite,deshabilitado
160102,929959,18773,semisuite,habilitado
160103,269634,7579,semisuite,deshabilitado
160104,135827,14219,suite,habilitado
160105,109305,18407,semisuite,deshabilitado
160106,850129,1662,suite,habilitado
160107,666108,16858,semisuite,deshabilitado
160108,376576,5461,semisuite,habilitado
160109,45229,14927,semisuite,deshabilitado
160110,454656,973,estandar,habilitado
160111,556793,7968,estandar,habilitado
160112,462825,10605,semisuite,deshabilitado
160113,708923,13304,estandar,habilitado
160114,541975,2443,semisuite,deshabilitado
160115,980724,2784,suite,habilitado
160116,626452,8959,estandar,habilitado
160117,835905,19679,suite,deshabilitado
160118,873780,12035,suite,deshabilitado
160119,781149,17950,semisuite,deshabilitado
160120,779578,1008,semisuite,habilitado
160121,611968,11783,semisuite,deshabilitado
160122,652439,4372,semisuite,deshabilitado
160123,243797,593,estandar,deshabilitado
160124,730274,12114,suite,deshabilitado
160125,101279,4258,suite,deshabilitado
160126,806406,13665,semisuite,deshabilitado
160127,352612,13768,semisuite,deshabilitado
160128,234473,14108,suite,deshabilitado
160129,51753,19303,suite,habilitado
160130,724334,4239,semisuite,habilitado
160131,73369,18094,semisuite,habilitado
160132,977217,961,estandar,deshabilitado
160133,146205,3414,suite,deshabilitado
160134,782916,10367,estandar,habilitado
160135,526354,15328,estandar,deshabilitado
160136,653052,6911,estandar,habilitado
160137,81026,3951,semisuite,deshabilitado
160138,774929,11636,estandar,deshabilitado
160139,43309,3684,semisuite,habilitado
160140,949018,6661,estandar,deshabilitado
160141,217833,9874,suite,habilitado
160142,726189,4581,semisuite,deshabilitado
160143,868775,19064,estandar,habilitado
160144,473770,14633,estandar,deshabilitado
160145,454789,14983,estandar,deshabilitado
160146,6266,13645,semisuite,habilitado
160147,109307,12188,suite,deshabilitado
