ID,PRECIO_MENSUAL,PRECIO_SEMESTRE,PERSONA_NATURAL
0,777410,277276,19812
1,874170,1210357,1216
2,492125,204069,9980
3,368900,1457713,437
4,359140,1312390,10155
5,137155,131233,7559
6,118521,1176411,9642
7,616889,537567,17519
8,424488,456142,11720
9,344830,43165,13528
10,7500,1075734,7558
11,337864,994049,12792
12,180075,49214,16664
13,470647,1357726,8736
14,513876,1425601,3810
15,852621,536717,15469
16,26468,323187,5995
17,78544,123708,4841
18,987749,516974,4743
19,112314,386988,4361
20,589623,1011674,13964
21,465278,1366483,17659
22,980289,1175016,14950
23,491556,1134970,7923
24,590507,938271,19988
25,409967,615410,11811
26,201522,1292135,11521
27,201977,419683,5718
28,391612,1299143,10705
29,767851,1066811,17877
30,53241,235245,7310
31,275325,238302,1002
32,807970,776419,15307
33,865275,192561,1390
34,881989,93755,11884
35,11211,478447,14733
36,331774,220078,13406
37,554357,143864,18383
38,265625,37751,3045
39,412197,837852,2199
40,503604,836715,19647
41,356506,485152,3593
42,542532,499878,7301
43,534872,623001,15112
44,741276,9894,2595
45,547719,838604,3904
46,797721,499577,17188
47,593429,927784,19355
48,911091,489659,1357
49,441551,1290799,6735
50,608004,1118794,4650
51,421913,1384280,491
52,673747,1413058,16701
53,777555,1084901,8349
54,587210,373597,12429
55,763321,1266304,19862
56,151529,1037260,19632
57,481437,473096,8917
58,83,1115482,713
59,916716,1106690,937
60,406565,1313646,5279
61,538411,1304731,3560
62,943966,946725,13973
63,690873,1430731,9504
64,187389,1441269,4418
65,986906,1208197,15679
66,870027,1007179,1304
67,199744,178545,18568
68,724110,672259,2051
69,206087,65243,16310
70,766800,355110,18536
71,914177,189827,16403
72,292345,881746,4706
73,131173,885509,11821
74,181457,459248,13460
75,343452,520805,18130
76,311554,1054527,19469
77,260608,494920,1595
78,467420,493359,13049
79,328697,525559,15379
80,299024,1342425,18801
81,458802,285389,18905
82,360691,957304,7196
83,706731,791743,3983
84,447489,466064,5590
85,300545,569180,3747
86,755501,860504,16877
87,973936,207342,5747
88,612575,920299,17547
89,5584,787674,5077
90,398205,626597,3858
91,195856,29942,19153
92,341270,1456466,5586
93,675676,526029,5624
94,694576,817317,3853
95,78157,396633,2421
96,738778,124894,1598
97,134872,1404053,4071
98,985997,1051449,17219
99,793922,1269349,13762
100,134948,1483973,5451
101,131708,1180611,13901
102,95599,108115,5091
103,629200,34607,7359
104,612663,137521,12262
105,946321,1489430,17097
106,502578,445585,6437
107,522613,1073020,1669
108,964157,366879,17317
109,120581,1457056,4467
110,783278,441488,4328
111,411228,1263170,14465
112,499586,1125996,17216
113,731066,7665,4326
114,222088,590999,8634
115,212182,1341683,9917
116,803668,757716,1297
117,851641,1045146,11776
118,78814,811087,17776
119,988889,1112971,17449
120,988212,1393072,3990
121,225137,1440027,3331
122,466633,801415,3882
123,815644,5682,13024
124,143395,943500,12287
125,761782,842422,12296
126,418208,623706,12362
127,758672,450076,9397
128,487203,679588,12170
129,677862,1444447,9739
130,651610,1297950,3179
131,922440,475073,10349
132,547352,459726,1525
133,121413,163369,9584
134,402105,557652,12767
135,986280,880591,17994
136,127387,715536,14487
137,662641,901106,9375
138,755784,193253,14597
139,839609,292496,19163
140,601023,665163,3391
141,650403,1334777,15608
142,77366,1273851,2381
143,267530,1144419,16636
