ID,COSTO_NOCHE,COSTO_MENSUAL,COSTO_SEMESTRE,MENSAJE,CAPACIDAD,VIVIENDA
320000,74939,118858,5617055,null,3,5508
320001,15217,851573,2819920,null,1,8573
320002,76437,47712,44123,null,4,17837
320003,78536,68574,6739662,null,2,9059
320004,63997,954351,4104873,null,5,8546
320005,46281,543639,6018381,null,5,11463
320006,27224,64437,7599671,null,1,15714
320007,4434,350890,1181493,null,5,16660
320008,18302,336789,6635729,null,4,8974
320009,4371,744171,1185075,null,5,15551
320010,18607,809190,4370944,null,5,14709
320011,11862,631961,6164204,null,3,3155
320012,28912,767709,6426388,null,2,9904
320013,49274,430978,6150339,null,3,14657
320014,11117,972806,3308414,null,5,19289
320015,55821,67140,1999601,null,2,4380
320016,31265,63739,4321084,null,4,17567
320017,22203,294392,4634560,null,4,508
320018,36937,374995,5490834,null,2,1409
320019,76775,32783,5426503,null,5,9912
320020,38900,118199,927318,null,3,12943
320021,67147,598205,6681911,null,2,12219
320022,7034,491976,5429325,null,2,17163
320023,45152,396412,2136296,null,2,12915
320024,30663,37303,4255817,null,2,11503
320025,38217,837320,4630980,null,1,3606
320026,38370,824058,1724730,null,3,11930
320027,2552,763728,1266806,null,1,13052
320028,43199,452102,5147353,null,3,1705
320029,22000,195327,3690265,null,3,6727
320030,26687,579416,401722,null,1,17691
320031,32938,192020,4375526,null,3,18692
320032,55479,913355,3052275,null,1,15099
320033,4679,64107,3557899,null,3,1773
320034,47687,955344,521343,null,4,3271
320035,65536,996858,1828281,null,5,17080
320036,78868,997809,6558609,null,5,2609
320037,22152,336292,7000325,null,5,4936
320038,11253,924859,861752,null,3,9224
320039,64539,506831,1349590,null,5,17671
320040,60455,832418,5569806,null,3,16097
320041,73202,51842,5386031,null,1,4459
320042,54161,88661,2702089,null,4,9338
320043,55051,947936,6904,null,1,14662
320044,79341,946774,3990595,null,1,13938
320045,75438,88886,6051716,null,3,914
320046,62486,328052,6275682,null,5,1303
320047,22540,890605,7038790,null,4,996
320048,33834,464373,7246285,null,1,1078
320049,13860,451607,4802244,null,2,2184
320050,30766,30034,2324391,null,5,9118
320051,4654,323086,57895,null,1,9652
320052,22347,49324,6003314,null,5,450
320053,65056,982155,5893925,null,2,17933
320054,1609,204733,7150413,null,2,14664
320055,63739,765446,7897269,null,1,16647
320056,47285,827195,1908741,null,4,1287
320057,395,257157,5283446,null,1,14156
320058,54929,833535,6925598,null,1,10357
320059,40011,935917,5356359,null,4,8272
320060,34762,535166,4200375,null,4,9248
320061,74709,573090,2110317,null,2,9375
320062,78377,88656,7918046,null,5,622
320063,27098,315992,1789287,null,1,15838
320064,78280,181804,4243124,null,5,7461
320065,22720,529691,7882431,null,5,12569
320066,76020,990808,5435811,null,1,13047
320067,34593,244475,4280353,null,2,14508
320068,28254,788766,7217208,null,3,10334
320069,42067,570052,3425323,null,1,4980
320070,39914,915251,4290839,null,1,2017
320071,27835,228754,3661522,null,3,4527
320072,20696,976222,3232814,null,1,3214
320073,50578,281073,4138950,null,3,16358
320074,78967,266370,467086,null,5,3598
320075,17181,493247,4028712,null,5,9375
320076,26427,234718,4022426,null,1,17699
320077,79879,46733,7467676,null,1,11128
320078,29890,802413,7927871,null,4,6545
320079,37464,208931,3830610,null,4,3357
320080,69664,865885,1291413,null,4,16681
320081,76581,816289,4208095,null,3,14953
320082,21134,615737,3224381,null,2,16979
320083,16671,405366,7322728,null,4,9228
320084,62278,551169,1641908,null,5,9599
320085,29248,399054,6596443,null,2,15818
320086,36952,830297,412578,null,2,2545
320087,50653,739796,3780778,null,1,6199
320088,47557,357052,918779,null,1,18140
320089,22390,971928,1823277,null,4,5252
320090,71503,285642,7152746,null,2,7797
320091,14444,698748,697933,null,4,1643
320092,43732,781038,5529819,null,1,18735
320093,48011,765766,7322163,null,3,3857
320094,8375,217959,7566984,null,2,9792
320095,27375,464710,2838492,null,2,11290
320096,43725,997257,2224905,null,4,7550
320097,34795,405118,2019314,null,4,10532
320098,78752,881110,6017084,null,5,8663
320099,13204,995965,1715858,null,1,10674
320100,77989,368394,2871895,null,1,4523
320101,79832,303775,7238233,null,2,9892
320102,64212,676972,2583948,null,5,11276
320103,54964,304349,5004486,null,2,2732
320104,3357,961157,2518932,null,2,1578
320105,8624,404930,7571459,null,5,18028
320106,47698,10909,6712844,null,1,3088
320107,68357,864459,2469420,null,1,6217
320108,52404,967800,6185250,null,3,14268
320109,70780,226739,5520938,null,2,12240
320110,23789,190773,5973355,null,2,5260
320111,70925,533419,1461581,null,5,11330
320112,49806,25607,2801098,null,1,5784
320113,3744,677837,4821747,null,2,9965
320114,10889,53696,3023616,null,4,8426
320115,7056,619636,4027683,null,4,14126
320116,56567,394967,1983582,null,3,5076
320117,3706,490764,751248,null,1,19737
320118,10178,914219,3363093,null,3,2968
320119,75667,532262,340639,null,4,10580
320120,22339,119757,5247685,null,1,11667
320121,39146,152932,67223,null,1,19917
320122,40445,949177,4488494,null,5,4341
320123,72801,455074,5019941,null,4,15920
320124,20341,975260,4257239,null,1,16768
320125,17405,430181,5988568,null,2,17546
320126,6469,204374,1244077,null,1,746
320127,30024,56814,3694580,null,2,11959
320128,9386,918360,1593729,null,3,2253
320129,42379,575077,2216628,null,3,14076
320130,78730,494678,3449947,null,5,12440
320131,22729,237295,2304199,null,1,19538
320132,79878,750387,5850447,null,4,11758
320133,70748,526522,4985530,null,4,13452
320134,74859,677079,4039662,null,5,19372
320135,18906,698309,6051950,null,3,8040
320136,62705,396960,4205903,null,4,12467
320137,61951,384623,38131,null,4,10351
320138,3536,327690,6134093,null,4,10674
320139,9050,427412,4971238,null,4,3086
320140,76228,564911,4156254,null,3,12141
320141,12942,790846,1827245,null,2,5644
320142,57477,56470,4900340,null,4,18206
320143,42000,891025,7029331,null,2,14095
320144,35211,174248,5500360,null,4,4663
320145,56650,185949,7794275,null,2,1823
320146,6354,497567,766916,null,5,6149
320147,49095,781795,2341589,null,4,14947
