ID,COSTO_SERVICIOS,PERSONA
0,992607,71223
1,880921,101459
2,375960,108138
3,247731,41379
4,398909,100402
5,584385,108742
6,561692,126367
7,464744,118417
8,856877,124426
9,633409,109838
10,182716,78592
11,837298,116513
12,805298,70921
13,263399,31212
14,310364,20586
15,751662,130528
16,805749,119434
17,26102,96970
18,76347,14528
19,292162,13205
20,298794,68482
21,868189,110559
22,353367,135181
23,215426,121529
24,737864,104399
25,547983,141053
26,45574,29959
27,540385,59839
28,610586,24639
29,988787,2252
30,641231,113079
31,430209,89441
32,735137,25474
33,552783,98773
34,914240,17983
35,163670,76816
36,499391,101656
37,987504,125071
38,481067,13212
39,769400,53624
40,69027,25646
41,298354,91449
42,590156,36511
43,68727,127309
44,672882,106423
45,724157,136968
46,467845,94311
47,548732,97281
48,398794,79529
49,939579,135705
50,186118,128949
51,30383,67539
52,670124,109618
53,166864,56293
54,203811,113394
55,713783,77178
56,305117,106879
57,181486,7079
58,834936,42063
59,713216,113420
60,634210,27497
61,491275,14568
62,922275,12195
63,66011,108334
64,536556,61159
65,439044,54842
66,517130,125185
67,338832,147973
68,378808,109935
69,585457,50279
70,595957,14820
71,112909,117471
72,770822,52404
73,293090,5915
74,127348,111458
75,995414,18261
76,313103,58230
77,673895,17335
78,603286,29872
79,714200,79141
80,516547,511
81,472288,2683
82,262901,94972
83,387177,4925
84,400671,73789
85,134030,125568
86,392186,896
87,655598,91373
88,372722,137976
89,454285,30339
90,46322,50298
91,421620,88488
92,197689,109456
93,749339,130886
94,778719,81992
95,252270,111877
96,202867,3241
97,754403,112435
98,594483,45450
99,393288,120237
100,535111,4759
101,924268,112847
102,421131,15305
103,592358,132530
104,478150,45618
105,7477,64739
106,676238,81594
107,755494,15826
108,686650,106424
109,49038,124420
110,777452,82036
111,877520,43470
112,262919,8838
113,517620,103686
114,79281,62900
115,600255,114746
116,343179,138052
117,783124,71561
118,650949,62529
119,971433,118753
120,226213,125830
121,759087,57715
122,961463,107513
123,146498,123839
124,331273,15319
125,503854,125340
126,176664,59772
127,236154,68228
128,277299,85024
129,464297,131523
130,73189,108475
131,721268,129885
132,116195,852
133,121157,105460
134,461546,145840
135,909921,90574
136,222856,16274
137,952210,54525
138,860896,52545
139,865169,5661
140,368341,77313
141,989708,48120
142,782217,122823
143,968285,28895
144,127953,134995
145,262383,144670
146,892583,26517
147,298240,87505
148,479026,38490
149,718542,113201
150,464981,26250
151,623364,34710
152,264092,17409
153,194482,59959
154,279181,2544
155,100365,90131
156,609478,144476
157,445401,77141
158,47577,24294
159,218305,115698
160,690530,118290
161,224233,46574
162,82173,144117
163,904534,121535
164,315481,8093
165,822968,78762
166,404255,99835
167,175386,112795
168,352684,34934
169,191343,25983
170,963951,68750
171,925045,147818
172,788230,133762
173,792984,30420
174,439126,33221
175,536196,6362
