ID,ID_OFERTA,NOM_SERVICIO
450000,65966,empleada
450001,208009,empleada
450002,56541,empleada
450003,362637,WiFi
450004,49871,WiFi
450005,242567,Baño propio
450006,156601,TV
450007,204180,Cocineta
450008,406432,Cocineta
450009,220240,jacuzzi
450010,406015,TV
450011,306096,WiFi
450012,443085,Baño propio
450013,20423,Cocineta
450014,367960,jacuzzi
450015,271557,TV
450016,375582,Baño propio
450017,22149,empleada
450018,289343,empleada
450019,53433,empleada
450020,94910,Baño propio
450021,18077,Baño propio
450022,258147,Baño propio
450023,155200,Baño propio
450024,88464,Baño propio
450025,186126,jacuzzi
450026,427161,Cocineta
450027,339369,jacuzzi
450028,353901,jacuzzi
450029,257332,TV
450030,413034,WiFi
450031,80870,jacuzzi
450032,134213,WiFi
450033,257469,empleada
450034,53632,empleada
450035,132393,jacuzzi
450036,436634,empleada
450037,207311,Cocineta
450038,364179,empleada
450039,14566,empleada
450040,430648,Baño propio
450041,313414,TV
450042,4752,empleada
450043,396923,TV
450044,265140,Cocineta
450045,286415,WiFi
450046,59706,WiFi
450047,64484,empleada
450048,199713,jacuzzi
450049,253096,WiFi
450050,432141,Cocineta
450051,423275,empleada
450052,222299,empleada
450053,62203,empleada
450054,74202,empleada
450055,14530,Cocineta
450056,265656,WiFi
450057,106968,Cocineta
450058,22679,jacuzzi
450059,197833,empleada
450060,285252,Cocineta
450061,152198,Cocineta
450062,332120,Cocineta
450063,187086,Cocineta
450064,436592,Cocineta
450065,238340,Baño propio
450066,432578,empleada
450067,49439,empleada
450068,357532,empleada
450069,309044,TV
450070,375760,jacuzzi
450071,335356,WiFi
450072,363046,TV
450073,133878,Cocineta
450074,6567,WiFi
450075,4844,WiFi
450076,330224,WiFi
450077,443708,WiFi
450078,32333,Cocineta
450079,306657,Cocineta
450080,194205,Baño propio
450081,264951,jacuzzi
450082,53335,Cocineta
450083,168840,jacuzzi
450084,373293,Baño propio
450085,81892,empleada
450086,317203,jacuzzi
450087,78844,Cocineta
450088,57318,empleada
450089,199803,TV
450090,50700,jacuzzi
450091,378615,Baño propio
450092,242490,TV
450093,61461,jacuzzi
450094,23335,empleada
450095,343373,empleada
450096,400201,jacuzzi
450097,113030,Baño propio
450098,390379,WiFi
450099,287142,empleada
450100,202100,Baño propio
450101,340295,WiFi
450102,441105,empleada
450103,366683,Baño propio
450104,251109,empleada
450105,41944,Cocineta
450106,41353,Baño propio
450107,387370,TV
450108,335193,empleada
450109,367189,Baño propio
450110,292220,TV
450111,413586,Cocineta
450112,364865,WiFi
450113,377462,Cocineta
450114,59525,WiFi
450115,66856,Baño propio
450116,302003,jacuzzi
450117,68207,empleada
450118,237564,WiFi
450119,420467,WiFi
450120,207643,Baño propio
